Column,Data Type,Data origin (GenBank field or pipeline)
PhageID,varchar(25),ticket
Accession,varchar(15),ticket
Name,varchar(50),ticket
HostGenus,varchar(50),ticket
Sequence,mediumblob,SEQUENCE
Length,mediumint(9),import
DateLastModified,datetime,import
Notes,blob,update
GC,float,import
Status,varchar(5),ticket
RetrieveRecord,tinyint(1),ticket
AnnotationAuthor,tinyint(1),ticket
Cluster,varchar(5),ticket
Subcluster,varchar(5),ticket
